transaction_id,user_id,amount,merchant,category,timestamp,location,device,card_present,cvv_present,card_pan,card_expiry,card_bin,merchant_id,auth_code,ip_address,email,phone,chargeback_history,notes,is_fraud
4ec46e72-03d2-493d-b006-653fe6e02f3a,29,205.28,Rivera-Smith ,fashion,2025-07-23 10:04:28,Duncanmouth,,True,True,4346282152141750910,09/26,480622,1040,dK593,217.138.68.62,rclarke@example.com,7484918804,1,Less from conference. ,0
3ed15de2-41b5-4842-8ded-3a02e52b243c,41,394.15,Miller LLC,,2025-05-18 09:23:50,Port Emilyside,desktop,True,True,371201705653298,06/27,491149,1425,AA224,8.35.171.94,haneysamantha@example.net,307-401-8484x369,1,Hit civil memory report.,0
1f8573fe-8ef0-4398-97e7-6a4e83879332,30,171.38,"Wilkerson, Barnett and Turner",electronics,2025-08-04 08:09:19,North David,mobile,False,False,2248771591787795,10/30,464588,1751,FW464,158.169.165.218,duranronald@example.com,317-873-3652x71447,2,Learn not public group go. ,0
a40302ec-ae13-4da1-a08c-a85630c59328,4,212.78,Tucker-Johnson ,fashion,2025-02-17 02:59:13,Sylviaton,,True,True,6550228752147817,08/28,434184,1658,Xo004,80.217.219.42,owilliams@example.net,273-933-9704x1122,4,Through want your nice.,0
44c1a5a7-c0f6-49b2-b4cd-888830ea2695,26,79.38,Sexton Inc ,food,2025-05-14 22:36:03,Port Derek,mobile,True,False,180073050194280,10/33,452648,1856,nK077,174.86.142.180,johnsoncynthia@example.com,001-392-368-4485,3,Summer note enter lawyer poor lay tend.,0
749e5df9-b47d-474e-abb8-2908547ff4b9,45,26.42,"Fuentes, Patterson and Kennedy ",food,2025-07-24 07:34:01,Garyville,desktop,True,False,2642608545680357,10/32,428469,1391,Td805,124.194.45.183,mezacheryl@example.com,(643)390-4032,5,Itself employee shake job chair image continue.,0
54835b7b-71e4-4507-8cc1-76c20ee5efb7,27,,Rice PLC ,food,2025-05-08 07:34:43,South Heatherstad,mobile,False,True,180084825299254,04/35,414080,1485,cU291,35.239.83.232,joneswilliam@example.com,(927)606-2955x74639,5,Think near ahead technology ability. ,0
2278b9fa-3179-4d57-a19b-763d07c990ef,38,449.02,Pierce-Holt ,fashion,2025-08-13 17:37:54,West Victoria,desktop,True,False,2221630257720907,07/33,407080,1664,zf445,138.59.128.11,jstewart@example.com,458.293.5113x711,1,,0
34597666-4c88-4588-8648-7f6618d9a96a,46,439.95,Brown Inc,fashion,2025-02-16 23:40:23,Marshallstad,,False,False,4771956220976,01/26,419916,1763,YH200,179.111.133.91,carrie11@example.com,384.923.5827,3,Apply section knowledge picture provide realize sound.,0
a015b3a1-de30-4e2b-8fed-fab005812de2,14,29.7,"Le, Smith and Foster ",,2025-09-06 16:42:09,Davidchester,desktop,False,True,060469875961,06/33,403330,1734,Yq476,17.149.79.89,glennangela@example.com,930.211.1438,3,Suddenly paper oil bag democratic could ten. ,0
